representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0027,26,6,4,4194304,13,MAP_LUT8,42.531599999999997
REP_0027,26,6,4,4194304,14,ID_FULL,39.880600000000001
REP_0027,26,6,4,4194304,14,MAP_LUT8,40.091399999999993
REP_0027,26,6,4,4194304,15,ID_FULL,39.636749999999999
REP_0027,26,6,4,4194304,15,MAP_LUT8,40.3904
REP_0027,26,6,8,4194304,1,ID_FULL,32.961950000000002
REP_0027,26,6,8,4194304,1,MAP_LUT8,31.86515
REP_0027,26,6,8,4194304,2,ID_FULL,31.731850000000001
REP_0027,26,6,8,4194304,2,MAP_LUT8,32.505650000000003
REP_0027,26,6,8,4194304,3,ID_FULL,32.481850000000001
REP_0027,26,6,8,4194304,3,MAP_LUT8,34.457900000000002
REP_0027,26,6,8,4194304,4,ID_FULL,33.982799999999997
REP_0027,26,6,8,4194304,4,MAP_LUT8,32.941949999999999
REP_0027,26,6,8,4194304,5,ID_FULL,34.114550000000001
REP_0027,26,6,8,4194304,5,MAP_LUT8,32.635949999999994
REP_0027,26,6,8,4194304,6,ID_FULL,32.983000000000004
REP_0027,26,6,8,4194304,6,MAP_LUT8,31.388350000000003
REP_0027,26,6,8,4194304,7,ID_FULL,33.581099999999999
REP_0027,26,6,8,4194304,7,MAP_LUT8,34.135800000000003
REP_0027,26,6,8,4194304,8,ID_FULL,31.905650000000001
REP_0027,26,6,8,4194304,8,MAP_LUT8,32.990400000000001
REP_0027,26,6,8,4194304,9,ID_FULL,33.313600000000001
REP_0027,26,6,8,4194304,9,MAP_LUT8,35.402100000000004
REP_0027,26,6,8,4194304,10,ID_FULL,31.129249999999999
REP_0027,26,6,8,4194304,10,MAP_LUT8,32.543300000000002
REP_0027,26,6,8,4194304,11,ID_FULL,33.562950000000001
REP_0027,26,6,8,4194304,11,MAP_LUT8,33.982600000000005
REP_0027,26,6,8,4194304,12,ID_FULL,33.591549999999998
REP_0027,26,6,8,4194304,12,MAP_LUT8,33.140500000000003
REP_0027,26,6,8,4194304,13,ID_FULL,33.852199999999996
REP_0027,26,6,8,4194304,13,MAP_LUT8,33.629850000000005
REP_0027,26,6,8,4194304,14,ID_FULL,32.868849999999995
REP_0027,26,6,8,4194304,14,MAP_LUT8,32.792500000000004
REP_0027,26,6,8,4194304,15,ID_FULL,32.516199999999998
REP_0027,26,6,8,4194304,15,MAP_LUT8,33.763500000000001
